char_len,word_count,type_count,ttr,content_ratio,avg_word_len,clause_count,question_type,has_comparative,has_negation,has_temporal,has_numeric,has_aggregation,has_question_mark,flesch_reading_ease,gunning_fog,flesch_kincaid_grade,smog_index,dep_tree_depth,has_passive,ne_count,ne_density,pos_NOUN,pos_VERB,pos_ADJ,pos_ADV,pos_PROPN,pos_NUM,pos_ADP,pos_DET,pos_PRON,pos_CCONJ,pos_SCONJ,pos_PUNCT,pct_VBZ_VBP,pct_VBD,pct_VBN,ne_ORG,ne_PERSON,ne_GPE,ne_DATE,ne_MONEY,ne_PERCENT,ne_LAW,ne_NORP,ne_PRODUCT,ne_EVENT,ne_TIME,ne_CARDINAL,nlq,Domain
591,108,70,0.6481,0.5926,4.278,5,Other,0,1,1,1,0,0,,,,,7,1,5,0.0431,21.55,13.79,6.9,6.03,6.9,0.86,6.9,7.76,9.48,6.03,2.59,6.03,9.48,2.59,2.59,1,1,0,1,0,0,0,0,0,0,0,2,"I have a Lenovo Yoga 500 laptop which is a few years old but it is not detecting my broadband router.

When I had BT broadband it worked fine but I now have EE broadband and since installation of the router it no longer detects the new router.

The available networks list shows lots of routers, mainly ones detected from other houses nearby but not mine.

I have a mobile broadband router and sim from EE which works fine.

I have looked at the router settings, as some online fixes mention changing from WPA3 to WPA2 but both 5ghz and 2.5ghz are set to WPA2-Personal

Help much appreciated",TelcoQA
196,39,31,0.7949,0.5897,3.923,0,Other,0,0,0,0,0,1,,,,,3,0,0,0.0,18.18,11.36,9.09,4.55,4.55,0.0,2.27,11.36,11.36,2.27,2.27,11.36,11.36,0.0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,EE app tells me I have altered the aqua light successfully BUT the light stays the same. It is too bright. The router is fine. Chat of little use. Can anyone tell me how to alter the light please?,TelcoQA
347,62,50,0.8065,0.7258,4.5,1,Other,0,0,0,0,0,0,,,,,8,0,4,0.0563,11.27,19.72,4.23,5.63,4.23,2.82,7.04,7.04,8.45,4.23,4.23,8.45,5.63,2.82,0.0,0,1,0,0,0,0,0,0,0,0,1,2,"Hi all. Just recently got this but despite connecting via ethernet and trying to connect via WiFi connect, I cannot get the hybrid connect to work. The Hybrid Connect keeps flashing green. The signal shows two bars out of three whilst it's trying to connect.

Any help gratefully received as we're due a storm later today and our power may go off!",TelcoQA
287,50,43,0.86,0.68,4.36,2,Other,0,0,0,1,0,0,,,,,8,1,3,0.05,13.33,18.33,1.67,3.33,0.0,5.0,10.0,5.0,15.0,3.33,1.67,6.67,5.0,6.67,5.0,0,0,0,2,1,0,0,0,0,0,0,0,"Hi Everyone,

EE are trying to get me pay £1332.95 for leaving within the 14 days. I've rung them on numerous occasions and explained to them that I rang to cancel within 14 days to which they agreed. But now it's been sent to a debt collection agency. Any advice please much appreciated",TelcoQA
543,105,69,0.6571,0.6571,3.914,1,Other,0,0,0,0,0,0,,,,,6,0,1,0.0081,14.63,17.07,0.81,6.5,2.44,0.0,7.32,6.5,13.01,4.88,0.0,12.2,9.76,0.0,2.44,1,0,0,0,0,0,0,0,0,0,0,0,"Hi Ali_A

I am trying to reach someone at EE - but cannot. I have troubles with my wifi at home & have been through the process of testing etc. I finally receive a text saying I need to reply Help or call back - but none of my texts will go through. I have called the number showing but then go through a menu & again they send me a text - which I cannot REPLY  - it is extremely frustrating. The EE App stops also on the broadband section.

It is a nightmare - I just need to speak to someone to resolve. HELP please.

[mod edit: added title]",TelcoQA
2103,371,197,0.531,0.5984,4.439,23,Other,0,1,1,1,1,0,,,,,16,1,18,0.0422,17.1,11.24,4.92,4.22,5.85,1.17,9.6,7.49,11.01,3.04,3.04,12.18,5.62,3.75,3.04,5,0,3,5,0,0,0,0,1,0,2,2,"I wonder if I am the only one who experienced great difficulty in trying to get satisfaction from the various departments that run the company from a setting up new contract for Fibre Broadband and Landline.

What happens to the operatives who have made glaring errors, omissions, and have altered  records without my authority. Today, by accident I find that I cannot ring my landline number, my wife tried as well with the same result. We generally use our Mobiles or communicate with WhatsApp.  I phoned the EE helpline number---eventually get through. Explained the situation. I was told by the EE operative who was checking my identity that I was using a different phone to my registered Number. I said ""No"" that this was my landline phone and original phone number since I joined EE in 2013. Aah! your number is down here in the records as ****** your new number.  The number you say is yours was changed on August 4th 2025 when you changed from the old account using copper cable to the new Full Bibre 150.

So, lots of calls have not come through. Explains the cancellation of my payments via standing order through to my Bank. Lack of records at their end of all my calls (many-- some of an hours length). And why it was very difficult to confirm our identity when paying for a stay for an upcoming holiday which was booked through the original landline No. That together with a malfunctioning Website that is now only partly working after a month plus, showing that I have now paid. But only shows my previous calls up to August on the old system. That is despite promises that BT could fix it as EE could not. (They did try-- Honestly). So as many  calls have ended  and promises have been made, no- one checks to see if the customer is sorted and the glitches  and complaints have been rectified. Perhaps the only answer is to write and complain  to the top a Senior Manager.

The sting in the tail from the operative this morning was: You might not get your number back! Now-- how many firms, Legal; Financial; Social; Media, Environmental and friend and family have my number. Aaaaahhhh!!!",TelcoQA
377,71,55,0.7746,0.6056,4.141,4,Other,0,1,1,1,0,0,,,,,5,1,7,0.0854,10.98,10.98,2.44,3.66,12.2,1.22,6.1,6.1,8.54,4.88,4.88,10.98,6.1,1.22,4.88,3,2,0,1,0,0,1,0,0,0,0,0,"My Openreach ONT has Power, PON, and Port 1 lights on, but my EE router is flashing orange.

The ONT was turned off during the Openreach test.

Could someone from EE or Openreach please confirm whether the line has beenfully activated, or if a remote re-check can be done? I’d really appreciate it, as I’d prefer not to be without service all week if it can be resolved sooner.",TelcoQA
105,19,18,0.9474,0.6316,4.211,0,Other,0,0,0,0,0,0,,,,,5,0,0,0.0,12.5,16.67,4.17,8.33,0.0,0.0,4.17,4.17,12.5,0.0,4.17,16.67,12.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,"Hi,

How do I go about downgrading the broadband package I have?  It's too expensive to pay now.

Thanks.",TelcoQA
899,171,112,0.655,0.6316,4.14,7,Other,0,1,1,1,0,0,,,,,7,1,7,0.0347,19.8,11.39,3.96,4.95,0.5,1.49,9.9,7.43,11.88,2.97,3.47,7.92,9.41,3.96,2.97,1,0,0,4,0,0,0,0,0,0,1,1,"So, from 3am this morning my router was playing up. Without any warning whatsoever from yourselves, I find out my router has had a software update and destroyed the power supply. The lights are still on, but nobody home. Not enough power from the unit to give a signal. Consequently I'm without Internet and TV until a new cable arrives. I'm so angry I've put in a formal complaint. WHY when you were aware there was a fault with them was I not sent a replacement? Why have I had to wait until I'm without service. 8 months I've been with EE and I wish I hadn't bothered after this. I've now got to wait many days for a replacement. In future don't use cheap rubbish which fail! I've now paid for 1 from Amazon to arrive tomorrow as I know EE won't send it quickly! I also think it's a disgrace that EE shops don't supply extra power cables and routers in this day and age for this type of screw up!",TelcoQA
252,55,42,0.7636,0.7091,3.564,1,Other,0,0,0,0,0,0,,,,,5,0,1,0.0175,12.28,14.04,8.77,7.02,1.75,0.0,7.02,5.26,22.81,5.26,1.75,0.0,3.51,3.51,0.0,0,0,0,0,0,0,0,0,0,0,0,0,So i placed an order on the 24th and EE closed my account down so its still the same email for my new account but i can’t access my new account because my old one shows up now i cant track my order or anything please someone help i dont know what to do,TelcoQA
895,177,101,0.5706,0.5593,3.836,6,Other,0,1,0,1,1,0,,,,,8,0,17,0.0876,12.37,12.37,4.12,6.7,13.4,4.12,6.7,9.79,9.79,4.64,2.58,4.12,7.22,1.55,0.0,3,8,0,2,1,0,0,0,0,0,0,3,"HiIs it possible to use a Smart Hub Pro and the Smart Hub Plus together to create a Mesh Network? And if it’s possible does this mean WiFi 7 wouldn’t function at all? As it stands I only have one device that’s capable of connecting to WiFi 7 the rest are mostly WiFi 6 capable so not really an issue for now.

A week ago I placed an order for Full Fiber 500 the order date is the 22 October so I have plenty of time to amend it if needs be.I didn’t order Full Fiber Gigabit as I though it would be an overkill but on reflection there’s not much of a difference in cost, however,  on Amazon  £65.00 can get me a Smart Hub Pro and I was considering buying this using it as the the main router to the ONT and placing the smart hub plus upstairs. Amazon also have the Smart WiFi Pro Mesh Kit but weirdly these are £75.00What are you thoughts change the order to Gigabit or stick with the 500 ?thanks",TelcoQA
173,37,30,0.8108,0.5676,3.405,0,Other,0,0,0,1,0,1,,,,,5,0,2,0.0455,13.64,13.64,0.0,2.27,4.55,4.55,9.09,9.09,13.64,2.27,0.0,11.36,9.09,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,"There are 2 of us in the the house using BB and landline, with iPads, phones etc.  Do I need to add my devices to a group?  What is a group?  Do I want to create one anyway?",TelcoQA
38,8,8,1.0,0.75,3.875,0,Other,0,0,0,0,0,0,,,,,3,0,0,0.0,25.0,0.0,12.5,12.5,0.0,0.0,12.5,12.5,12.5,0.0,0.0,0.0,12.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,My broadband is really slow a cuts out,TelcoQA
1454,244,141,0.5779,0.6721,4.57,5,Other,0,1,1,1,0,1,,,,,8,1,12,0.0403,14.43,14.77,3.02,5.7,7.72,3.69,5.37,6.04,12.08,3.36,1.01,13.76,5.7,3.36,2.68,0,0,0,12,0,0,0,0,0,0,0,0,"July 16 - Filed complaint for NO INTERNET

July 17 - Engineer appointment (no one came)

July 18 - Had a series of phone calls to all EE guides about not having internet.

July 19-23 had a lot of conversation about this engineers and techs. After remote checks on the 23rd, they found out that it was the main plug that is causing these no internet problems. They told us they would send us a new plug to fix this.

July 25 - received the plug, INTERNET RESTORED

July 25 - Same day. They told me compensation would be filed and would receive in a month.

Sept 22 - Called them back cause compensation still hasn't received. They said they would file it immediately and would receive by thursday (sept 25)

Sept 25 - NO COMPENSATION RECEIVED. NOTHING!

OCTOBER 1 - CALLED EE BROADBAND BILL CUSTOMER SERVICE AGAIN AND FOUND OUT COMPENSATION DENIED!!!

Nothing gets done with EE. Their customer service guides are just scripts to tell you what you want to hear, but nothing actually happens. When you call back, they simply apologize again and again — it’s just a delay tactic.

It’s an endless apology loop where they stall, delay, and never actually deliver. The staff follow scripts, but don’t actually fix the problem.

I would not recommend EE to anyone. I’m glad I’ve already switched mobile provider and will be getting out of this broadband contract soon.

I WANT TO EXPRESS MY FRUSTRATIONS HERE. and can someone help me what to do in my situation?",TelcoQA
83,14,12,0.8571,0.7143,5.0,0,Other,0,1,0,0,0,0,,,,,4,0,1,0.0714,28.57,14.29,7.14,7.14,0.0,0.0,7.14,0.0,14.29,7.14,0.0,0.0,0.0,7.14,0.0,0,0,0,1,0,0,0,0,0,0,0,0,My broadband will start tomorrow but still not arrived my broadband from royal mail,TelcoQA
377,67,57,0.8507,0.6567,4.448,4,Other,0,0,1,1,0,0,,,,,7,0,1,0.0133,20.0,16.0,8.0,2.67,1.33,1.33,9.33,5.33,13.33,4.0,0.0,9.33,9.33,2.67,2.67,0,0,0,1,0,0,0,0,0,0,0,0,We recently joined EE after leaving Virgin media who we’d been with over 5 years.  But I now regret it.  The amount of times the hub loses connection is unbelievable.  Can’t do anything that requires internet such as watch something or stream music. The hub go’s from blue to flashing orange.  I’ve phoned EE numerous times but it keeps happening. This service is unacceptable.,TelcoQA
167,34,29,0.8529,0.5882,3.824,2,Other,0,0,0,1,0,0,,,,,6,0,1,0.0278,16.67,11.11,0.0,2.78,13.89,2.78,16.67,2.78,8.33,0.0,8.33,2.78,8.33,2.78,5.56,0,0,0,1,0,0,0,0,0,0,0,0,I SWITCHED FROM SKY BROADBAND TO EE. EE HAVE SAID THAT THEY WILL CREDIT MY ACCOUNT FOR SWITCHING IN 28 DAYS HOW DO I FIND OUT IF THE MONEY HAS BEEN ADDED TO MY ACCOUNT,TelcoQA
688,122,91,0.7459,0.6148,4.418,9,Other,1,1,1,1,0,0,,,,,8,1,3,0.0208,16.67,13.89,5.56,4.86,2.78,2.08,9.03,6.25,11.81,0.0,4.17,9.72,4.17,5.56,4.17,0,0,1,0,2,0,0,0,0,0,0,0,"We were persuaded to change from BT to EE when our contract ended. Biggest mistake ever. We were made promises galore about better products, speeds, prices etc. we have now lost signals completely on our ground floor, as the recent tests from EE have proved, however it seems our only solution would be to add a booster at an additional cost of £10 a month (which was dropped to £7 after debate) which as pensioners we cannot afford.

EE promised full coverage, they lied. They also offer £100 compensation if they fail, no idea how to claim this. We feel very let down, especially when the advisor on the other end of the phone terminated our call when he was unable to resolve the issue",TelcoQA
95,16,15,0.9375,0.625,4.938,0,Other,0,0,0,0,0,1,,,,,7,0,1,0.0588,17.65,23.53,5.88,0.0,5.88,0.0,11.76,11.76,5.88,5.88,0.0,5.88,11.76,0.0,5.88,1,0,0,0,0,0,0,0,0,0,0,0,Has anyone has any trouble connecting or staying connected via broadband to a Samsung smart tv?,TelcoQA
